Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-932.01	-1046.437	114.4268	0.0150871	0.00144367	0.0376764	0.01827	0.00958381	0.00451155	0.00318256	0.0389731	0.015298	0.00460533	0.00389393	0.0280963	0.0357768	0.00380303	0.0188509	0.0316873	0.0211949	0.0135251	0.0231982	0.0295324	0.00446424	0.00155911	0.0245638	0.0389471	0.0128899	0.0150652	0.0299342	0.00881083	0.00411554	0.0144078	0.0115273	0.00175713	0.011899	0.0148925	0.0355096	0.00225588	0.00430125	0.0169869	0.00641747	0.00146582	0.00397541	0.00010496	0.00340019	0.0337163	0.00836767	0.00172088	0.0382865	0.00741311	0.0440692	0.0167482	0.0042775	0.00954173	0.0336643	0.0109044	0.00982396	0.000461828	0.013352	0.000496657	0.0124158	0.0127921	1.79777e-05	0.0163733	0.0242764	0.00959328	0.00270779	0.0125139	0.0172972	0.00910693	0.00686981	0.00832003	0.000918877	0.000476035	0.0172684	0.2771301	1.72287	0.0871429	0.304192	0.689845	1.4496	3.28739	11.4754	1.764437	6.216826	0.0149195	0.00142763	0.0372578	0.0180671	0.00947734	0.00446143	0.00314721	0.0385401	0.015128	0.00455417	0.00385067	0.0277842	0.0353793	0.00376078	0.0186415	0.0313353	0.0209594	0.0133749	0.0229405	0.0292044	0.00441465	0.00154179	0.0242909	0.0385145	0.0127467	0.0148978	0.0296016	0.00871296	0.00406982	0.0142477	0.0113992	0.00173761	0.0117669	0.0147271	0.0351151	0.00223082	0.00425347	0.0167982	0.00634618	0.00144954	0.00393125	0.000103794	0.00336241	0.0333418	0.00827472	0.00170176	0.0378612	0.00733076	0.0435796	0.0165621	0.00422998	0.00943574	0.0332903	0.0107833	0.00971482	0.000456698	0.0132037	0.00049114	0.0122779	0.01265	1.7778e-05	0.0161914	0.0240067	0.00948671	0.00267771	0.0123749	0.0171051	0.00900576	0.0067935	0.0082276	0.00090867	0.000470747	0.0170766	0.861435	0.138565	1.011233
30	-877.4523	-992.0718	114.6195	0.0256372	0.00335551	0.0248584	0.00609372	0.0150326	0.00277869	0.0412086	0.00313926	0.0177508	0.0211071	0.010186	0.0444786	0.0583677	0.0102274	0.0269802	0.0117204	0.0335531	0.00811479	0.0200911	0.0467521	0.00366258	0.0208262	0.0292774	0.0071515	0.0200708	0.00323283	0.047388	0.00179349	0.00732628	0.0181294	0.0707332	0.00494336	0.0162067	0.0343946	0.00645977	0.00353621	0.00947934	0.0105687	0.0193636	0.000316682	0.0746854	0.000552878	0.0131857	0.0284298	0.00848869	0.0178898	0.0467366	0.0163797	0.00512334	0.000793736	0.0535887	0.00704245	0.00264533	0.0320055	0.00252207	0.00539061	0.0211372	0.00440887	0.00402705	0.00506455	0.00230585	0.0290549	0.0173465	0.0151869	0.0110762	0.0101423	0.00818723	0.0401512	0.0108754	0.0192876	0.011569	0.000212689	0.0315071	0.6341663	1.365834	0.0266724	0.17076	0.576128	1.73573	5.85617	37.492	2.620493	2.153747	0.0193737	0.00253573	0.0187853	0.00460496	0.01136	0.00209983	0.0311409	0.0023723	0.0134141	0.0159504	0.00769747	0.033612	0.0441078	0.00772875	0.0203887	0.00885696	0.0253557	0.00613226	0.0151826	0.03533	0.00276778	0.0157382	0.0221246	0.00540431	0.0151673	0.00244301	0.0358106	0.00135532	0.0055364	0.0137002	0.0534523	0.00373564	0.0122473	0.0259916	0.00488158	0.00267228	0.00716344	0.00798662	0.0146329	0.000239313	0.056439	0.000417804	0.00996433	0.0214841	0.00641481	0.0135191	0.0353184	0.0123779	0.00387166	0.000599818	0.0404964	0.0053219	0.00199905	0.0241862	0.0019059	0.00407363	0.0159732	0.00333174	0.0030432	0.00382722	0.00174251	0.0219565	0.0131086	0.0114766	0.0083702	0.00766442	0.006187	0.0303419	0.00821845	0.0145754	0.00874258	0.000160727	0.0238096	0.682917	0.317083	1.323295
60	-883.3394	-997.2442	113.9048	0.0222584	0.00471376	0.0141395	0.0233564	0.00923228	0.00881358	0.00112635	0.0083361	0.00253675	0.0169287	0.021727	0.0277088	0.000279163	0.0235081	0.0107848	0.00420406	0.0116092	0.0133537	0.0246662	0.00626957	0.00827718	0.0145958	0.0504735	0.000360241	0.0108553	0.00267667	0.0102463	0.0126271	0.00486541	0.0280411	0.0334493	0.00781207	0.00263349	0.0212362	0.0029493	0.00572234	0.0076117	0.00571605	0.000747093	0.000133954	0.0207112	0.0011523	0.00411891	0.0370488	0.0362045	0.0274251	0.0157975	0.00339942	0.00743559	0.00178399	0.00270393	0.0114111	0.00255386	0.0191208	0.000866551	0.00517545	0.0019517	0.00652787	0.011872	0.0252836	0.00222033	0.00578948	0.00938185	0.012328	0.00545836	0.00118267	0.00273484	0.00558036	0.00588197	0.0104317	0.0163147	0.000115033	0.00859259	0.8718102	1.12819	0.00214908	0.0499957	0.392727	2.5463	20.0017	465.316	4.441607	1.294077	0.0273062	0.00578277	0.0173462	0.0286532	0.011326	0.0108124	0.00138179	0.0102266	0.00311205	0.0207679	0.0266543	0.0339927	0.000342473	0.0288394	0.0132306	0.00515748	0.014242	0.0163821	0.0302601	0.00769141	0.0101543	0.017906	0.0619202	0.000441938	0.0133171	0.0032837	0.0125701	0.0154907	0.00596882	0.0344004	0.0410351	0.00958374	0.00323073	0.0260522	0.00361816	0.00702009	0.00933792	0.00701237	0.000916522	0.000164333	0.0254082	0.00141362	0.00505301	0.045451	0.0444151	0.0336448	0.0193801	0.00417036	0.00912187	0.00218857	0.00331714	0.0139989	0.00313303	0.0234571	0.00106307	0.00634917	0.00239432	0.00800829	0.0145644	0.0310176	0.00272387	0.00710245	0.0115095	0.0151238	0.00669624	0.00145089	0.00335506	0.0068459	0.00721591	0.0127974	0.0200146	0.00014112	0.0105413	0.564095	0.435905	0.8151386
90	-896.9958	-1011.176	114.18	0.00532209	0.0044822	0.0186405	0.0175865	0.00444604	0.000820322	0.00634594	0.00511422	0.00157248	0.00396716	0.00782763	0.0130378	0.000346448	0.00600734	0.00276583	0.00178224	0.000105734	0.0189904	0.01278	0.00300914	0.00745805	0.000996927	0.0239577	0.000235375	0.00330181	0.00365475	0.00588155	0.00893971	0.000653647	0.0113864	0.0107447	0.00383791	0.00760835	0.000226246	0.00656439	0.00122478	0.0230049	0.00273881	0.000433226	0.000611335	0.00974522	0.00447187	0.00233775	0.00636323	0.00814264	0.00860566	0.00291032	0.0117464	0.01038	0.00013118	0.00159141	0.00124743	0.00345872	0.00140516	0.000440062	0.0024352	0.00618877	0.00243201	0.00350904	0.00927023	0.00575066	0.00168237	0.00376212	0.00522974	0.0046087	0.00783277	0.00187185	0.00262572	0.0189743	0.00104803	0.00496521	0.00464947	0.00653791	0.983512	1.016488	0.00190624	0.0471558	0.385627	2.59318	21.2063	524.594	4.528309	1.033529	0.0125296	0.0105523	0.0438847	0.0414033	0.0104671	0.00193125	0.01494	0.0120402	0.00370203	0.00933972	0.0184283	0.0306944	0.000815629	0.0141428	0.00651149	0.00419587	0.000248925	0.0447085	0.0300874	0.0070843	0.0175582	0.00234703	0.0564027	0.000554135	0.00777333	0.00860423	0.0138467	0.0210464	0.00153886	0.0268065	0.0252958	0.00903544	0.017912	0.000532642	0.0154543	0.00288345	0.0541594	0.00644787	0.00101993	0.00143924	0.0229428	0.0105279	0.00550368	0.0149807	0.0191699	0.02026	0.00685165	0.0276542	0.0244372	0.000308832	0.00374659	0.00293679	0.00814274	0.00330813	0.00103602	0.0057331	0.01457	0.00572559	0.0082612	0.0218245	0.0135386	0.00396074	0.00885701	0.0123122	0.0108501	0.0184404	0.00440682	0.00618164	0.0446703	0.00246735	0.0116894	0.0109461	0.0153919	0.508244	0.491756	0.4247617
120	-885.6492	-1000.553	114.9034	0.00407356	0.00838911	0.00935993	0.0094936	0.0107168	0.0055445	0.00137077	0.00391672	0.00567841	0.00370487	0.00840103	0.00998499	0.000899801	0.00483711	0.00211821	0.00207593	5.32625e-05	0.0145438	0.00185278	0.000391713	0.00991861	0.00222565	0.0154838	0.00158032	0.000679566	0.00345668	0.00203067	0.00425612	0.00131734	0.00798473	0.0047016	0.00709924	0.0191153	0.00192995	0.0091288	0.00172413	0.0242231	0.00239709	0.00218069	0.000368928	0.00440644	0.0110818	0.00245499	0.00346664	0.00232269	0.00823454	0.00415161	0.0108484	0.0123822	0.000253984	0.0060986	0.00464007	0.00105834	0.00123354	0.017935	0.000734794	0.00564846	7.00771e-05	0.00272046	0.00782147	0.00603382	0.000927543	0.00618972	0.00102351	0.0153498	0.00934482	0.00367909	0.00237886	0.0160297	0.00143426	0.000805309	0.00356079	0.000561501	0.8476298	1.15237	0.00778838	0.0936814	0.477721	2.09327	10.6745	128.396	3.510588	1.359521	0.0100808	0.0207604	0.0231629	0.0234937	0.0265207	0.0137209	0.00339223	0.00969264	0.0140523	0.00916839	0.0207899	0.0247097	0.00222672	0.0119703	0.0052419	0.00513727	0.000131808	0.0359913	0.00458504	0.000969366	0.0245454	0.00550778	0.0383175	0.0039108	0.00168171	0.00855419	0.00502527	0.0105325	0.00325999	0.0197597	0.011635	0.0175684	0.0473043	0.00477601	0.0225909	0.00426667	0.0599444	0.00593204	0.00539652	0.00091298	0.0109045	0.0274241	0.00607531	0.00857884	0.00574793	0.0203779	0.0102739	0.0268463	0.030642	0.000628529	0.0150921	0.0114827	0.00261905	0.00305261	0.0443834	0.00181838	0.0139782	0.000173419	0.00673227	0.0193557	0.0149318	0.00229538	0.0153176	0.00253286	0.0379859	0.0231255	0.0091046	0.00588692	0.0396685	0.00354934	0.00199289	0.00881183	0.00138954	0.576185	0.423815	0.4040921
150	-937.6344	-1053.573	115.9381	0.0252115	0.00540216	0.0169919	0.00111238	0.0238404	0.00494307	0.00531742	0.0192683	0.00766808	0.00243369	0.016009	0.012082	0.00838	0.00982454	0.00604449	0.00270506	0.000249937	0.0466685	0.00594523	0.000251502	0.031827	0.00847805	0.0292294	0.0106847	0.00193313	0.00161844	0.00552932	0.0045512	0.0123339	0.0015307	0.0542253	0.0224086	0.0352067	0.0126436	0.0403867	0.0236891	0.0538624	0.0199791	0.0163744	0.00575624	0.0178049	0.0259937	0.00262262	0.00125928	0.019165	0.0263106	0.0109583	0.03621	0.0561814	0.000814987	0.00815012	0.0145467	0.0025687	0.0687298	0.0137879	0.00625725	0.0397627	0.000251465	0.00383329	0.0250977	0.00871954	0.0030221	0.0396608	0.0202159	0.0191005	0.0101074	0.0149628	0.00519931	0.0614768	0.0243533	0.00119679	0.00325962	0.00276705	0.767901	1.232099	0.0849929	0.300509	0.687228	1.45512	3.32769	11.7657	1.7825	1.604502	0.0208887	0.0044759	0.0140784	0.000921653	0.0197527	0.00409552	0.00440569	0.0159645	0.00635329	0.00201641	0.013264	0.0100104	0.00694314	0.00814	0.00500809	0.00224124	0.000207082	0.0386666	0.00492585	0.000208379	0.0263699	0.00702439	0.0242177	0.00885269	0.00160167	0.00134094	0.00458125	0.00377084	0.0102191	0.00126824	0.0449277	0.0185663	0.0291701	0.0104757	0.0334619	0.0196273	0.044627	0.0165534	0.0135668	0.00476926	0.0147521	0.0215368	0.00217294	0.00104336	0.0158789	0.0217994	0.00907936	0.0300014	0.0465484	0.000675248	0.00675268	0.0120525	0.00212826	0.0569453	0.0114238	0.00518437	0.0329449	0.000208349	0.00317602	0.0207944	0.00722447	0.00250392	0.0328605	0.0167497	0.0158255	0.00837433	0.0123973	0.00430783	0.0509358	0.0201776	0.000991585	0.00270072	0.00229261	0.616049	0.383951	1.206945
180	-855.5675	-970.1088	114.5413	0.00769961	0.0429089	0.0297444	0.00121248	0.0287534	0.0347646	0.00777464	0.010182	0.00121924	0.00851834	0.0166545	0.03908	0.0336267	0.0366614	0.0187474	0.0165887	0.0182646	0.00362293	0.0122314	0.00886153	0.0619095	0.0205211	0.0511663	0.00182705	0.0204324	0.0215769	0.00604432	0.0357094	0.00841543	0.00218973	0.0949217	0.039546	0.0784886	0.0560027	0.0706972	0.0494459	0.0378465	0.0380992	0.0909744	0.016491	0.0652367	0.067835	0.0822797	0.00177191	0.00674076	0.0495639	0.0129172	0.0233719	0.0356761	0.00943109	0.000523681	0.0060044	0.00306149	0.0195861	0.0241358	0.0169413	0.0256578	0.00805871	0.0683986	0.0822188	0.02523	0.0052902	0.0117014	0.0370406	0.0183013	0.0165822	0.0419911	0.00375927	0.0496401	0.0319872	0.0255969	0.000187769	0.010557	0.7388164	1.261184	0.069503	0.272422	0.666509	1.50036	3.67078	14.3879	1.92798	1.707033	0.00372556	0.0207621	0.0143922	0.000586677	0.0139127	0.0168213	0.00376186	0.00492668	0.000589945	0.00412171	0.00805852	0.0189094	0.0162707	0.0177391	0.0090712	0.00802665	0.00883756	0.00175301	0.00591831	0.00428777	0.0299557	0.0099294	0.0247575	0.000884041	0.00988651	0.0104403	0.00292463	0.0172785	0.00407192	0.00105953	0.0459292	0.0191349	0.0379778	0.0270977	0.0342078	0.0239251	0.0183126	0.0184348	0.0440192	0.0079794	0.0315657	0.0328229	0.0398121	0.000857361	0.00326161	0.0239822	0.00625019	0.0113088	0.0172623	0.00456336	0.00025339	0.00290531	0.00148134	0.00947701	0.0116784	0.00819727	0.0124149	0.00389932	0.0330956	0.0397827	0.0122079	0.00255974	0.00566189	0.0179226	0.00885535	0.00802351	0.020318	0.00181898	0.024019	0.0154774	0.0123854	9.08547e-05	0.00510814	0.630592	0.369408	2.066698
210	-857.5867	-971.2575	113.6708	0.0131359	0.0297359	0.0707075	0.0099966	0.0132978	0.014078	0.00625093	0.02225	0.000710264	0.00517534	0.00471257	0.0139683	0.0187706	0.0354479	0.0475097	0.0114959	0.0133767	0.00921029	0.00317821	0.0152049	0.0144291	0.00164309	0.0187651	0.0243187	0.0141597	0.0367326	0.00296338	0.0181351	0.00289638	0.00151749	0.177932	0.00967277	0.0127986	0.0396542	0.0521114	0.019064	0.0262276	0.00294798	0.0684881	0.002203	0.0497316	0.0139563	0.0114637	0.0194358	0.0151637	0.0343478	0.0154629	0.00544376	0.00447279	0.00428198	0.00584693	0.0281523	0.00155136	0.01277	0.0101891	0.0118291	0.0341012	0.00187192	0.0973414	0.0594737	0.00221354	0.00148229	0.0083424	0.0303506	0.0300984	0.00953415	0.0159465	0.012438	0.0197777	0.0739971	0.0177386	9.17998e-05	0.00178291	0.6852638	1.314736	0.00921614	0.101696	0.490114	2.04034	9.8332	108.505	3.388879	1.918584	0.00839056	0.0189938	0.0451645	0.00638534	0.00849396	0.00899234	0.00399279	0.0142122	0.000453682	0.00330575	0.00301016	0.00892229	0.0119898	0.0226424	0.0303469	0.00734304	0.00854439	0.00588308	0.00203008	0.00971213	0.00921658	0.00104953	0.0119862	0.0155336	0.0090445	0.023463	0.00189286	0.0115838	0.00185006	0.000969295	0.113654	0.00617849	0.00817509	0.0253291	0.0332862	0.0121771	0.0167529	0.00188302	0.0437468	0.00140717	0.0317661	0.0089146	0.00732248	0.0124146	0.00968585	0.0219397	0.00987696	0.00347721	0.002857	0.00273512	0.00373473	0.0179823	0.000990936	0.00815685	0.00650828	0.00755583	0.0217822	0.00119569	0.0621769	0.0379889	0.0014139	0.000946815	0.00532872	0.0193864	0.0192254	0.00608995	0.0101859	0.00794479	0.0126331	0.0472657	0.0113306	5.86372e-05	0.00113884	0.657368	0.342632	1.565555
240	-889.4051	-1004.269	114.8643	0.0577526	0.00877429	0.0243114	0.0038725	0.00411397	0.0274195	0.0117421	0.0098432	0.000214696	0.00407603	0.0437871	0.00391955	0.000446766	0.000909594	0.0248146	0.0672208	0.00546213	0.000396208	0.00202065	0.00559067	0.0091283	0.014468	0.00663099	0.00422842	0.0142254	0.0208664	0.00467513	0.0213016	0.013016	0.00309984	0.113127	0.04716	0.00494172	0.0340216	0.00813441	0.0724887	0.0166751	0.0164706	0.00405136	0.00253022	0.0173299	0.00755078	0.00728847	0.0187393	0.029693	0.0319249	0.0355051	0.00346106	0.0141765	0.0148606	0.012506	0.0178988	0.00167243	0.0318765	0.00421462	0.00439142	0.0624504	0.00421255	0.0477249	0.00605372	0.00618475	0.00370528	0.00853745	0.0171621	0.0124125	0.0276322	0.0159089	0.00336148	0.00726807	0.0677244	0.0138373	2.94597e-05	0.00320812	0.8423756	1.157624	0.017708	0.139839	0.541317	1.84735	7.15109	56.4716	2.91667	1.374238	0.0444788	0.00675761	0.0187236	0.00298245	0.00316842	0.0211174	0.00904329	0.00758084	0.00016535	0.00313919	0.0337231	0.00301868	0.000344081	0.000700533	0.0191112	0.0517707	0.00420672	0.000305144	0.00155623	0.00430571	0.00703025	0.0111427	0.00510692	0.00325656	0.0109558	0.0160705	0.0036006	0.0164056	0.0100244	0.00238737	0.0871256	0.0363207	0.00380591	0.026202	0.0062648	0.0558279	0.0128425	0.012685	0.0031202	0.00194868	0.0133468	0.00581531	0.00561329	0.0144323	0.0228684	0.0245872	0.0273446	0.00266557	0.0109182	0.011445	0.00963162	0.0137849	0.00128804	0.02455	0.00324593	0.0033821	0.0480968	0.00324434	0.0367558	0.00466233	0.00476325	0.00285366	0.0065752	0.0132176	0.00955959	0.0212812	0.0122524	0.00258888	0.00559757	0.0521586	0.010657	2.26887e-05	0.00247077	0.578812	0.421188	1.298432
270	-874.7168	-989.5037	114.7869	0.00614498	0.00245235	0.0086897	0.00839454	0.00330901	0.00432655	0.00266552	0.00110693	0.0010197	0.0101918	0.00710828	0.000459823	0.00213842	0.00674028	0.000219776	0.00424177	0.00863985	0.00221147	0.000307149	0.00157862	0.00568962	0.00155039	0.00690961	0.00917984	0.000599895	0.00511296	0.00826398	0.0101714	0.0040306	0.000536265	0.0114892	0.00280013	0.0111346	0.0141679	0.00643545	0.0055612	0.00295563	0.00198584	0.00607363	0.0011406	0.00471357	0.00299515	0.00493498	0.0142072	0.0109026	0.00729587	0.0119675	0.00656913	0.00483289	0.00960142	0.0134233	0.00439043	0.00337817	0.00543777	0.00254361	0.00014914	0.0247462	0.00175348	0.00133834	0.000606217	0.00939009	0.00716484	0.0019762	0.000102712	0.00455757	0.00610684	0.00281644	0.0121552	0.00592227	0.0344867	0.00367952	0.00032687	0.00189169	0.6288222	1.371178	0.0137653	0.123675	0.520965	1.91951	8.08571	72.6463	3.098785	2.180549	0.0144895	0.0057825	0.0204898	0.0197938	0.00780245	0.0102017	0.00628514	0.00261007	0.00240439	0.0240315	0.0167609	0.00108424	0.00504225	0.0158932	0.000518218	0.0100018	0.0203722	0.00521452	0.000724239	0.00372229	0.0134158	0.00365572	0.0162924	0.0216455	0.00141452	0.0120561	0.019486	0.0239835	0.0095039	0.00126448	0.0270909	0.00660254	0.0262547	0.0334069	0.0151744	0.013113	0.0069692	0.00468249	0.0143213	0.00268946	0.0111143	0.00706237	0.0116364	0.0334998	0.0257076	0.0172032	0.0282185	0.0154896	0.0113957	0.0226396	0.0316513	0.0103524	0.00796553	0.0128219	0.00599768	0.000351662	0.0583501	0.00413459	0.00315572	0.00142942	0.0221413	0.0168942	0.00465975	0.000242188	0.0107465	0.0143996	0.006641	0.0286613	0.0139644	0.0813175	0.00867609	0.000770739	0.00446048	0.685589	0.314411	0.4240991
